hanza,mean_sound
桜,앵두 앵
夜,밤 야
野,들 야
冶,불릴 야
弱,약할 약
薬,약 약
約,맺을 약
若,같을 약
躍,뛸 약
羊,양 양
洋,큰 바다 양
陽,볕 양
様,모양 양
養,기를 양
揚,날릴 양
瘍,헐 양
壌,흙덩이 양
嬢,아가씨 양
譲,사양할 양
醸,술빚을 양
魚,물고기 어
語,말씀 어
漁,고기 잡을 어
御,거느릴 어
億,억 억
抑,누를 억
憶,생각할 억
臆,가슴 억
言,말씀 언
厳,엄할 엄
業,업 업
余,나/ 남을 여
与,더불/ 줄 여
如,같을 여
役,부릴 역
駅,역 역
易,바꿀 역/ 쉬울 이
逆,거스를 역
域,지경 역
訳,번역할 역
疫,전염병 역
研,갈 연
然,그럴 연
演,펼 연
燃,탈 연
延,늘일 연
沿,물 따라갈 연
宴,잔치 연
軟,연할 연
煙,연기 연
鉛,납 연
縁,인연 연
熱,더울 열
悦,기쁠 열
閲,볼 열
塩,소금 염
染,물들 염
炎,불꽃 염
捻,비틀 염
艶,고울 염
葉,잎 엽
泳,헤엄칠 영
英,꽃부리 영
栄,영화 영
永,길 영
営,경영할 영
映,비칠 영
迎,맞을 영
詠,읊을 영
影,그림자 영
予,미리 예
芸,재주 예
預,맡길/ 미리 예
鋭,날카로울 예
刈,벨 예
詣,이를 예
誉,기릴/ 명예 예
五,다섯 오
午,낮 오
誤,그르칠 오
汚,더러울 오
呉,성씨 오
娯,즐길 오
悟,깨달을 오
奥,깊을 오
傲,거만할 오
玉,구슬 옥
屋,집 옥
沃,물 댈 옥
獄,감옥 옥
温,따뜻할 온
穏,편안할 온
翁,늙은이 옹
擁,낄 옹
瓦,기와 와
渦,소용돌이 와
完,완전할 완
宛,완연할 완
玩,희롱할 완
腕,팔뚝 완
頑,완고할 완
緩,느릴 완
王,임금 왕
往,갈 왕
旺,왕성할 왕
外,바깥 외
畏,두려워할 외
曜,빛날 요
要,요긴할 요
凹,오목할 요
妖,아리따울 요
揺,흔들 요
腰,허리 요
窯,기와 가마 요
謡,노래 요
浴,목욕할 욕
欲,하고자 할 욕
辱,욕될 욕
用,쓸 용
勇,날랠 용
容,모양 용
冗,쓸데없을 용
庸,떳떳할 용
湧,물 솟을 용
溶,녹을 용
踊,뛸 용
右,오른쪽 우
雨,비 우
牛,소 우
友,벗 우
羽,깃 우
宇,집 우
郵,우편 우
優,넉넉할 우
又,또 우
芋,토란 우
偶,짝 우
遇,만날 우
隅,모퉁이 우
愚,어리석을 우
虞,염려할 우
憂,근심 우
雲,구름 운
運,옮길 운
韻,운율 운
鬱,막힐 울
雄,수컷 웅
熊,곰 웅
円,둥글 원
元,으뜸 원
原,언덕 원
遠,멀 원
園,동산 원
院,집 원
員,인원 원
願,원할 원
源,근원 원
怨,원망할 원
垣,담 원
援,도울 원
媛,미인 원
猿,원숭이 원
月,달 월
越,넘을 월
委,맡길 위
位,자리 위
囲,에워쌀 위
胃,밥통 위
衛,지킬 위
危,위태할 위
威,위엄 위
為,할 위
萎,시들 위
偽,거짓 위
尉,벼슬 위
偉,클 위
違,어긋날 위
慰,위로할 위
緯,위도 위
由,말미암을 유
有,있을 유
油,기름 유
遊,놀 유
幼,어릴 유
乳,젖 유
遺,남길 유
柔,부드러울 유
幽,그윽할 유
唯,오직 유
悠,유유자적할 유
愉,즐거울 유
喩,비유할 유
猶,오히려 유
裕,넉넉할 유
誘,꾈 유
維,벼리 유
諭,타이를 유
儒,선비 유
癒,병 나을 유
六,여섯 육
肉,고기 육
育,기를 육
潤,불을 윤
融,녹을 융
銀,은 은
恩,은혜 은
隠,숨을 은
乙,새 을 
音,소리 음
飲,마실 음
吟,읊을 음
陰,그늘 음
淫,음란할 음
泣,울 읍
応,응할 응
凝,엉길 응
医,의원 의
意,뜻 의
衣,옷 의
議,의논할 의
義,옳을 의
疑,의심할 의
依,의지할 의
宜,마땅 의
椅,의자 의
儀,거동 의
擬,비길 의
二,두 이
耳,귀 이
以,써 이
移,옮길 이
異,다를 이
弐,두/ 갖은두 이
餌,미끼 이
益,더할 익
翌,다음날 익
溺,빠질 익
翼,날개 익
人,사람 인
引,끌 인
印,도장 인
因,인할 인
仁,어질 인
認,알 인
刃,칼날 인
忍,참을 인
姻,혼인 인
咽,목구멍 인
一,한 일
日,날 일
壱,한/ 갖은한 일
逸,편안할 일
任,맡길 임
賃,품삯 임
妊,아이밸 임
入,들 입
剰,남을 잉
子,아들 자
字,글자 자
自,스스로 자
姉,손윗누이 자
者,놈 자
資,재물 자
姿,모양 자
磁,자석 자
刺,찌를 자
茨,가시나무 자
恣,방자할 자
紫,자주빛 자
滋,불을 자
煮,삶을 자
慈,사랑 자
雌,암컷 자
諮,물을 자
作,지을 작
昨,어제 작
酌,술 부을 작
爵,벼슬 작
残,남을 잔
桟,사다리 잔
蚕,누에 잠
潜,잠길 잠
暫,잠깐 잠
雑,섞일 잡
長,긴 장
場,마당 장
章,글 장
帳,장막 장
腸,창자 장
張,베풀 장
将,장수 장
装,꾸밀 장
障,막을 장
蔵,감출 장
臓,오장 장
丈,어른 장
匠,장인 장
壮,장할 장
荘,씩씩할/ 별장 장
掌,손바닥 장
粧,단장할 장
葬,장사지낼 장
奨,장려할 장
才,재주 재
材,재목 재
再,두 재
在,있을 재
災,재앙 재
財,재물 재
裁,마를 재
宰,재상 재
栽,심을 재
斎,재계할/ 집 재
載,실을 재
争,다툴 쟁
低,낮을 저
底,밑 저
貯,쌓을 저
著,나타날 저
狙,엿볼 저
抵,막을 저
邸,집 저
箸,젓가락 저
赤,붉을 적
笛,피리 적
的,과녁 적
積,쌓을 적
敵,맞을 적
適,대적할 적
績,길쌈할 적
寂,고요할 적
賊,도둑 적
跡,발자취 적
滴,물방울 적
嫡,정실 적
摘,딸 적
籍,문서 적
田,밭/ 논 전
前,앞 전
電,번개 전
全,온전할 전
転,구를 전
伝,전할 전
典,법 전
戦,싸움 전
銭,돈 전
専,오로지 전
展,펼 전
栓,마개 전
殿,전각 전
塡,메울 전/ 누를 진
煎,달일 전
詮,설명할 전
箋,찌지 전
切,끊을 절/ 모두 체
折,꺾을 절
節,마디 절
絶,끊을 절
窃,훔칠 절
店,가게 점
点,점 점
占,점령할/ 점칠 점
粘,붙을 점
漸,점점 점
接,이을 접
正,바를 정
町,밭두둑 정
丁,고무래/ 장정 정
定,정할 정
庭,뜰 정
整,가지런할 정
停,머무를 정
静,고요할 정
政,정사 정
情,뜻 정
程,한도/ 길 정
精,정할 정
頂,정수리 정
井,우물 정
丼,우물 정
呈,드릴 정
廷,조정 정
征,칠 정
亭,정자 정
貞,곧을 정
訂,바로잡을 정
浄,깨끗할 정
偵,염탐할 정
晶,맑을 정
艇,배 정
錠,덩이 정
弟,아우 제
第,차례 제
祭,제사 제
題,제목 제
制,절제할 제
提,끌 제
製,지을 제
際,즈음 제
除,덜 제
済,건널 제
諸,모두 제
斉,가지런할 제
帝,임금 제
剤,약제 제
堤,둑 제
早,이를 조
鳥,새 조
組,짤 조
朝,아침 조
助,도울 조
調,조사할 조
兆,조 조
照,비칠 조
条,가지 조
祖,할아버지 조
造,지을 조
潮,밀물/조수 조
操,잡을 조
爪,손톱 조
弔,조상할 조
阻,막힐 조
租,조세 조
措,둘 조
曹,무리 조
粗,조잡할 조
彫,새길 조
眺,바라볼 조
釣,낚을/낚시 조
詔,조서 조
遭,만날 조
嘲,비웃을 조
槽,구유 조
燥,마를 조
繰,고치 켤 조
藻,마름 조
足,발 족
族,겨레 족
存,있을 존
尊,높을 존
卒,마칠 졸
拙,옹졸할 졸
終,마칠 종
種,씨 종
宗,마루 종
従,좇을 종
縦,세로 종
腫,종기 종
踪,자취 종
鐘,쇠북 종
左,왼 좌
席,자리 좌
